title,series_type,episodes,status,premiered,source,duration,rating,score,votes
Ore no Imouto ga Konnani Kawaii Wake ga Nai,TV,12,Finished Airing,Fall 2010,Light novel,24,PG-13 - Teens 13 or older,7.14,308922
InuYasha,TV,167,Finished Airing,Fall 2000,Manga,24,PG-13 - Teens 13 or older,7.85,245946
Devilman: Crybaby,ONA,10,Finished Airing,,Manga,25,R+ - Mild Nudity,7.86,323044
Akatsuki no Yona,TV,24,Finished Airing,Fall 2014,Manga,24,PG-13 - Teens 13 or older,8.07,260884
JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,TV,39,Finished Airing,Spring 2016,Manga,23,R - 17+ (violence & profanity),8.52,341021
Kuroko no Basket 2nd Season,TV,25,Finished Airing,Fall 2013,Manga,24,PG-13 - Teens 13 or older,8.31,336976
Nisemonogatari,TV,11,Finished Airing,Winter 2012,Light novel,24,R - 17+ (violence & profanity),8.18,315265
Steins;Gate 0,TV,23,Finished Airing,Spring 2018,Visual novel,23,PG-13 - Teens 13 or older,8.52,220296
Ao Haru Ride,TV,12,Finished Airing,Summer 2014,Manga,23,PG-13 - Teens 13 or older,7.69,284640
Free!,TV,12,Finished Airing,Summer 2013,Original,24,PG-13 - Teens 13 or older,7.41,290088
Trigun,TV,26,Finished Airing,Spring 1998,Manga,24,PG-13 - Teens 13 or older,8.24,262116
Kotonoha no Niwa,Movie,1,Finished Airing,,Original,46,PG-13 - Teens 13 or older,8.09,309997
NHK ni Youkoso!,TV,24,Finished Airing,Summer 2006,Novel,24,R+ - Mild Nudity,8.33,243668
Claymore,TV,26,Finished Airing,Spring 2007,Manga,23,R+ - Mild Nudity,7.79,254077
Hellsing,TV,13,Finished Airing,Fall 2001,Manga,23,R - 17+ (violence & profanity),7.51,275037
Yamada-kun to 7-nin no Majo (TV),TV,12,Finished Airing,Spring 2015,Manga,24,PG-13 - Teens 13 or older,7.68,290778
High School DxD BorN,TV,12,Finished Airing,Spring 2015,Light novel,24,R+ - Mild Nudity,7.47,317904
Rosario to Vampire,TV,13,Finished Airing,Winter 2008,Manga,25,R+ - Mild Nudity,6.87,298763
Shimoneta to Iu Gainen ga Sonzai Shinai Taikutsu na Sekai,TV,12,Finished Airing,Summer 2015,Light novel,23,R+ - Mild Nudity,7.36,274646
Hotarubi no Mori e,Movie,1,Finished Airing,,Manga,45,G - All Ages,8.4,283370
Hai to Gensou no Grimgar,TV,12,Finished Airing,Winter 2016,Light novel,24,PG-13 - Teens 13 or older,7.71,263847
Akira,Movie,1,Finished Airing,,Manga,124,R+ - Mild Nudity,8.17,308518
Lucky☆Star,TV,24,Finished Airing,Spring 2007,4-koma manga,24,PG-13 - Teens 13 or older,7.78,237802
Baka to Test to Shoukanjuu,TV,13,Finished Airing,Winter 2010,Light novel,24,PG-13 - Teens 13 or older,7.62,275986
Kore wa Zombie Desu ka?,TV,12,Finished Airing,Winter 2011,Light novel,24,R - 17+ (violence & profanity),7.45,276565
Neon Genesis Evangelion: The End of Evangelion,Movie,1,Finished Airing,,Original,87,R+ - Mild Nudity,8.51,326969
Kaguya-sama wa Kokurasetai?: Tensai-tachi no Renai Zunousen,TV,12,Finished Airing,Spring 2020,Manga,24,PG-13 - Teens 13 or older,8.8,268697
Yuri!!! on Ice,TV,12,Finished Airing,Fall 2016,Original,23,PG-13 - Teens 13 or older,7.93,294036
Blood Lad,TV,10,Finished Airing,Summer 2013,Manga,24,PG-13 - Teens 13 or older,7.36,261444
Kiznaiver,TV,12,Finished Airing,Spring 2016,Original,24,PG-13 - Teens 13 or older,7.45,240717
Monster Musume no Iru Nichijou,TV,12,Finished Airing,Summer 2015,Manga,23,R+ - Mild Nudity,7.11,275620
Sakamoto Desu ga?,TV,12,Finished Airing,Spring 2016,Manga,24,PG-13 - Teens 13 or older,7.61,239234
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e (TV),TV,12,Finished Airing,Summer 2017,Light novel,24,PG-13 - Teens 13 or older,7.86,292809
School Days,TV,12,Finished Airing,Summer 2007,Visual novel,25,R+ - Mild Nudity,5.74,292193
Masamune-kun no Revenge,TV,12,Finished Airing,Winter 2017,Manga,24,PG-13 - Teens 13 or older,6.86,274040
Owari no Seraph: Nagoya Kessen-hen,TV,12,Finished Airing,Fall 2015,Manga,23,R - 17+ (violence & profanity),7.66,284732
Kami nomi zo Shiru Sekai,TV,12,Finished Airing,Fall 2010,Manga,23,PG-13 - Teens 13 or older,7.75,262068
Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!,TV,12,Finished Airing,Summer 2013,Web manga,24,PG-13 - Teens 13 or older,7.07,250477
Overlord III,TV,13,Finished Airing,Summer 2018,Light novel,23,R - 17+ (violence & profanity),7.98,288082
