title,licensor
Koukyoushihen Eureka Seven,Funimation
Koukyoushihen Eureka Seven,Bandai Entertainment
The God of High School,Crunchyroll
Rurouni Kenshin: Meiji Kenkaku Romantan,Media Blasters
Durarara!!x2 Shou,Aniplex of America
Musaigen no Phantom World,Funimation
Musaigen no Phantom World,Crunchyroll
Higurashi no Naku Koro ni Kai,Sentai Filmworks
Ore no Kanojo to Osananajimi ga Shuraba Sugiru,Aniplex of America
Gintama°,Funimation
Gintama°,Crunchyroll
Kaze no Stigma,Funimation
Mekakucity Actors,Aniplex of America
Boku no Hero Academia the Movie 1: Futari no Hero,Funimation
Hajime no Ippo,Discotek Media
Hajime no Ippo,Geneon Entertainment USA
Netoge no Yome wa Onnanoko ja Nai to Omotta?,Funimation
Black Lagoon: The Second Barrage,Funimation
Black Lagoon: The Second Barrage,Geneon Entertainment USA
Sword Art Online: Alicization - War of Underworld,Aniplex of America
Hentai Ouji to Warawanai Neko.,Sentai Filmworks
Zero no Tsukaima: Princesses no Rondo,Sentai Filmworks
Tokyo Ravens,Funimation
Pandora Hearts,"NIS America, Inc."
Sousei no Onmyouji,Crunchyroll
Majo no Takkyuubin,Walt Disney Studios
Majo no Takkyuubin,GKIDS
Toaru Majutsu no Index II,Funimation
Ore no Imouto ga Konnani Kawaii Wake ga Nai.,Aniplex of America
Working!!,"NIS America, Inc."
Kimi no Suizou wo Tabetai,Aniplex of America
Evangelion: 1.0 You Are (Not) Alone,Funimation
Kizumonogatari I: Tekketsu-hen,Aniplex of America
5-toubun no Hanayome,Funimation
Darker than Black: Ryuusei no Gemini,Funimation
Perfect Blue,GKIDS
Perfect Blue,Manga Entertainment
"Yosuga no Sora: In Solitude, Where We Are Least Alone.",Media Blasters
Love Live! School Idol Project,"NIS America, Inc."
Maoyuu Maou Yuusha,Sentai Filmworks
Domestic na Kanojo,Sentai Filmworks
Shirobako,Sentai Filmworks
Rosario to Vampire Capu2,Funimation
Evangelion: 2.0 You Can (Not) Advance,Funimation
Owarimonogatari,Aniplex of America
Chihayafuru,Sentai Filmworks
Gake no Ue no Ponyo,Walt Disney Studios
Satsuriku no Tenshi,Funimation
Tsuki ga Kirei,Funimation
Karakai Jouzu no Takagi-san,Funimation
Steins;Gate: Oukoubakko no Poriomania,Funimation
Gakkougurashi!,Sentai Filmworks
Net-juu no Susume,Funimation
Cardcaptor Sakura,Nelvana
Cardcaptor Sakura,"NIS America, Inc."
Cardcaptor Sakura,Geneon Entertainment USA
"Ore no Nounai Sentakushi ga, Gakuen Love Comedy wo Zenryoku de Jama Shiteiru",Sentai Filmworks
Dagashi Kashi,Funimation
Hinamatsuri,Funimation
"Dakara Boku wa, H ga Dekinai.",Sentai Filmworks
Zero no Tsukaima F,Sentai Filmworks
Shingeki no Bahamut: Genesis,Funimation
Koukaku Kidoutai: Stand Alone Complex,Bandai Entertainment
Koukaku Kidoutai: Stand Alone Complex,Manga Entertainment
Sekirei,Funimation
New Game!,Funimation
New Game!,Crunchyroll
Fruits Basket 1st Season,Funimation
Kami nomi zo Shiru Sekai II,Sentai Filmworks
B-gata H-kei,Funimation
Kimi ni Todoke 2nd Season,"NIS America, Inc."
Ookami Shoujo to Kuro Ouji,Sentai Filmworks
Tenkuu no Shiro Laputa,Walt Disney Studios
Tenkuu no Shiro Laputa,GKIDS
Megalo Box,Viz Media
Isekai wa Smartphone to Tomo ni.,Funimation
Digimon Adventure,Saban Entertainment
Digimon Adventure,Flatiron Film Company
Fate/Apocrypha,Aniplex of America
Kore wa Zombie Desu ka? of the Dead,Funimation
Blood+,Sony Pictures Entertainment
Hibike! Euphonium,Ponycan USA
Kara no Kyoukai 1: Fukan Fuukei,Aniplex of America
Hagure Yuusha no Aesthetica,Funimation
Citrus,Funimation
Inou-Battle wa Nichijou-kei no Naka de,Sentai Filmworks
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,Sentai Filmworks
The Last: Naruto the Movie,Viz Media
Death March kara Hajimaru Isekai Kyousoukyoku,Funimation
No.6,Sentai Filmworks
Tasogare Otome x Amnesia,Sentai Filmworks
Shinchou Yuusha: Kono Yuusha ga Ore Tsueee Kuse ni Shinchou Sugiru,Funimation
Baka to Test to Shoukanjuu Ni!,Funimation
Hanamonogatari,Aniplex of America
Hajimete no Gal,Funimation
D-Frag!,Funimation
Arifureta Shokugyou de Sekai Saikyou,Funimation
Demi-chan wa Kataritai,Funimation
Demi-chan wa Kataritai,Crunchyroll
Hitsugi no Chaika,Sentai Filmworks
Hidan no Aria,Funimation
Tsukimonogatari,Aniplex of America
Ano Natsu de Matteru,Sentai Filmworks
Bokura wa Minna Kawai-sou,Sentai Filmworks
Durarara!!x2 Ten,Aniplex of America
Gakusen Toshi Asterisk 2nd Season,Aniplex of America
Arslan Senki (TV),Funimation
Vampire Knight: Guilty,Viz Media
Air Gear,ADV Films
Air Gear,Funimation
Zombieland Saga,Funimation
Grisaia no Rakuen,Sentai Filmworks
Kenja no Mago,Funimation
Campione!: Matsurowanu Kamigami to Kamigoroshi no Maou,Sentai Filmworks
Boruto: Naruto the Movie,Viz Media
IS: Infinite Stratos 2,Sentai Filmworks
Rainbow: Nisha Rokubou no Shichinin,Funimation
Bakemono no Ko,Funimation
Free!: Eternal Summer,Funimation
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka Gaiden: Sword Oratoria,Sentai Filmworks
Yojouhan Shinwa Taikei,Funimation
Tanaka-kun wa Itsumo Kedaruge,Sentai Filmworks
Special A,Sentai Filmworks
Panty &amp; Stocking with Garterbelt,Funimation
Shaman King,4Kids Entertainment
Fairy Tail: Final Series,Funimation
Houseki no Kuni (TV),Sentai Filmworks
Mikakunin de Shinkoukei,Sentai Filmworks
Kizumonogatari II: Nekketsu-hen,Aniplex of America
Durarara!!x2 Ketsu,Aniplex of America
Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,Aniplex of America
High School DxD Hero,Funimation
Arakawa Under the Bridge,"NIS America, Inc."
Keijo!!!!!!!!,Funimation
Bakuman. 2nd Season,Media Blasters
Jigoku Shoujo,Funimation
Kekkai Sensen &amp; Beyond,Funimation
Sayonara Zetsubou Sensei,Nozomi Entertainment
Sayonara Zetsubou Sensei,Media Blasters
Suisei no Gargantia,Viz Media
Gantz,ADV Films
Gantz,Funimation
Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,Aniplex of America
Non Non Biyori,Sentai Filmworks
Toaru Kagaku no Railgun S,Funimation
Amagami SS,Sentai Filmworks
Haiyore! Nyaruko-san,"NIS America, Inc."
Kuroshitsuji: Book of Circus,Funimation
"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e",Aniplex of America
Fullmetal Alchemist: The Conqueror of Shamballa,Funimation
Gokukoku no Brynhildr,Sentai Filmworks
Tamako Market,Sentai Filmworks
Yu☆Gi☆Oh! Duel Monsters,4Kids Entertainment
Yu☆Gi☆Oh! Duel Monsters,Flatiron Film Company
Mirai Nikki: Redial,Funimation
Sakamichi no Apollon,Sentai Filmworks
To LOVE-Ru Darkness,Sentai Filmworks
Seireitsukai no Blade Dance,Sentai Filmworks
Yuru Yuri,"NIS America, Inc."
Outbreak Company,Sentai Filmworks
Mousou Dairinin,Funimation
Mousou Dairinin,Geneon Entertainment USA
School Rumble,Funimation
Corpse Party: Tortured Souls - Bougyakusareta Tamashii no Jukyou,Maiden Japan
Shakugan no Shana II (Second),Funimation
Kaze no Tani no Nausicaä,Walt Disney Studios
Kaze no Tani no Nausicaä,GKIDS
Kami nomi zo Shiru Sekai: Megami-hen,Sentai Filmworks
Seto no Hanayome,Funimation
Wolf&#039;s Rain,Funimation
Wolf&#039;s Rain,Bandai Entertainment
Darwin&#039;s Game,Aniplex of America
Freezing,Funimation
Phantom: Requiem for the Phantom,Funimation
Cowboy Bebop: Tengoku no Tobira,Sony Pictures Entertainment
Watashi ga Motete Dousunda,Funimation
Watashi ga Motete Dousunda,Crunchyroll
Ben-To,Funimation
Bishoujo Senshi Sailor Moon,ADV Films
Bishoujo Senshi Sailor Moon,Viz Media
Bishoujo Senshi Sailor Moon,DiC Entertainment
Jormungand,Funimation
Koi to Uso,Sentai Filmworks
Aldnoah.Zero 2nd Season,Aniplex of America
Saijaku Muhai no Bahamut,Sentai Filmworks
Isekai Quartet,Funimation
Shinmai Maou no Testament Burst,Funimation
Shinmai Maou no Testament Burst,Crunchyroll
Tales of Zestiria the Cross,Funimation
Azumanga Daioh,ADV Films
Azumanga Daioh,Sentai Filmworks
Shuumatsu Nani Shitemasu ka? Isogashii Desu ka? Sukutte Moratte Ii Desu ka?,Funimation
Sword Art Online: Alicization - War of Underworld 2nd Season,Aniplex of America
Air,ADV Films
Air,Funimation
Seikon no Qwaser,Sentai Filmworks
Machine-Doll wa Kizutsukanai,Funimation
ChäoS;HEAd,Funimation
Hundred,Funimation
Hundred,Crunchyroll
Space☆Dandy,Funimation
Afro Samurai,Funimation
Hanasaku Iroha,"NIS America, Inc."
Shelter,Crunchyroll
Devil May Cry,ADV Films
Devil May Cry,Funimation
Madan no Ou to Vanadis,Funimation
Evangelion: 3.0 You Can (Not) Redo,Funimation
Kotoura-san,"NIS America, Inc."
Owarimonogatari 2nd Season,Aniplex of America
Full Metal Panic? Fumoffu,ADV Films
Full Metal Panic? Fumoffu,Funimation
Stranger: Mukou Hadan,Funimation
Stranger: Mukou Hadan,Bandai Entertainment
Kono Subarashii Sekai ni Shukufuku wo!: Kono Subarashii Choker ni Shukufuku wo!,Discotek Media
Dragon Ball Kai,Funimation
"Clannad: Mou Hitotsu no Sekai, Tomoyo-hen",Sentai Filmworks
Renai Boukun,Funimation
Motto To LOVE-Ru,Sentai Filmworks
Dimension W,Funimation
Code:Breaker,Funimation
Enen no Shouboutai: Ni no Shou,Funimation
Ping Pong the Animation,Funimation
Beck,Funimation
C: The Money of Soul and Possibility Control,Funimation
Redline,Anchor Bay Films
Isshuukan Friends.,Sentai Filmworks
Denpa Onna to Seishun Otoko,"NIS America, Inc."
K: Return of Kings,Viz Media
Acchi Kocchi (TV),Sentai Filmworks
Mawaru Penguindrum,Sentai Filmworks
Busou Shoujo Machiavellianism,Sentai Filmworks
xxxHOLiC,Funimation
Sora no Otoshimono: Forte,Funimation
Hamatora The Animation,Sentai Filmworks
Ore wo Suki nano wa Omae dake ka yo,Aniplex of America
3-gatsu no Lion 2nd Season,Aniplex of America
Densetsu no Yuusha no Densetsu,Funimation
Berserk,Funimation
Berserk,Crunchyroll
Nejimaki Seirei Senki: Tenkyou no Alderamin,Funimation
Nejimaki Seirei Senki: Tenkyou no Alderamin,Crunchyroll
Oda Nobuna no Yabou,Sentai Filmworks
Shuffle!,Funimation
Detective Conan,Funimation
Detective Conan,Crunchyroll
Blood-C,Funimation
Golden Boy,ADV Films
Golden Boy,Media Blasters
Golden Boy,Discotek Media
Danganronpa 3: The End of Kibougamine Gakuen - Mirai-hen,Funimation
Itai no wa Iya nano de Bougyoryoku ni Kyokufuri Shitai to Omoimasu.,Funimation
Shijou Saikyou no Deshi Kenichi,Funimation
Sword Art Online: Extra Edition,Aniplex of America
Bokutachi wa Benkyou ga Dekinai,Aniplex of America
Ookami-san to Shichinin no Nakama-tachi,Funimation
Kämpfer,Sentai Filmworks
Gleipnir,Funimation
Akagami no Shirayuki-hime 2nd Season,Funimation
Yuusha ni Narenakatta Ore wa Shibushibu Shuushoku wo Ketsui Shimashita.,Sentai Filmworks
Kanon (2006),ADV Films
Kanon (2006),Funimation
Little Busters!,Sentai Filmworks
Fate/stay night: Unlimited Blade Works Prologue,Aniplex of America
Amnesia,Sentai Filmworks
Taimadou Gakuen 35 Shiken Shoutai,Discotek Media
Kamisama Hajimemashita◎,Funimation
Oniichan dakedo Ai sae Areba Kankeinai yo ne!,Funimation
Black Cat (TV),Funimation
Diabolik Lovers,Sentai Filmworks
Seiken Tsukai no World Break,Funimation
Tokyo Magnitude 8.0,Maiden Japan
Tamako Love Story,Sentai Filmworks
Full Metal Panic! The Second Raid,ADV Films
