title,genre
Kimi ni Todoke,Slice of Life
Kimi ni Todoke,Drama
Kimi ni Todoke,Romance
Kimi ni Todoke,School
Kimi ni Todoke,Shoujo
Nichijou,Slice of Life
Nichijou,Comedy
Nichijou,School
Nichijou,Shounen
Tokyo Ghoul:re,Action
Tokyo Ghoul:re,Psychological
Tokyo Ghoul:re,Supernatural
Tokyo Ghoul:re,Mystery
Tokyo Ghoul:re,Drama
Tokyo Ghoul:re,Horror
Tokyo Ghoul:re,Seinen
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,Action
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,Adventure
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,Supernatural
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,Drama
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,Shounen
Toaru Majutsu no Index,Action
Toaru Majutsu no Index,Magic
Toaru Majutsu no Index,Sci-Fi
Toaru Majutsu no Index,Super Power
Magi: The Kingdom of Magic,Action
Magi: The Kingdom of Magic,Adventure
Magi: The Kingdom of Magic,Magic
Magi: The Kingdom of Magic,Fantasy
Magi: The Kingdom of Magic,Shounen
Shinsekai yori,Drama
Shinsekai yori,Horror
Shinsekai yori,Mystery
Shinsekai yori,Psychological
Shinsekai yori,Sci-Fi
Shinsekai yori,Supernatural
Toki wo Kakeru Shoujo,Adventure
Toki wo Kakeru Shoujo,Drama
Toki wo Kakeru Shoujo,Romance
Toki wo Kakeru Shoujo,Sci-Fi
Kokoro Connect,Slice of Life
Kokoro Connect,Comedy
Kokoro Connect,Supernatural
Kokoro Connect,Drama
Kokoro Connect,Romance
Kokoro Connect,School
Overlord II,Action
Overlord II,Game
Overlord II,Adventure
Overlord II,Supernatural
Overlord II,Magic
Overlord II,Fantasy
Dororo,Action
Dororo,Adventure
Dororo,Demons
Dororo,Historical
Dororo,Samurai
Dororo,Shounen
Dororo,Supernatural
Plastic Memories,Sci-Fi
Plastic Memories,Drama
Plastic Memories,Romance
Shokugeki no Souma: San no Sara,Ecchi
Shokugeki no Souma: San no Sara,School
Shokugeki no Souma: San no Sara,Shounen
Rakudai Kishi no Cavalry,Action
Rakudai Kishi no Cavalry,Romance
Rakudai Kishi no Cavalry,Ecchi
Rakudai Kishi no Cavalry,Fantasy
Rakudai Kishi no Cavalry,School
Kekkai Sensen,Action
Kekkai Sensen,Comedy
Kekkai Sensen,Super Power
Kekkai Sensen,Supernatural
Kekkai Sensen,Vampire
Kekkai Sensen,Fantasy
Kekkai Sensen,Shounen
Mushishi,Adventure
Mushishi,Slice of Life
Mushishi,Mystery
Mushishi,Historical
Mushishi,Supernatural
Mushishi,Fantasy
Mushishi,Seinen
Mahoutsukai no Yome,Slice of Life
Mahoutsukai no Yome,Magic
Mahoutsukai no Yome,Fantasy
Mahoutsukai no Yome,Shounen
Accel World,Action
Accel World,Game
Accel World,Sci-Fi
Accel World,Romance
Accel World,School
Enen no Shouboutai,Action
Enen no Shouboutai,Supernatural
Enen no Shouboutai,Shounen
Ookami Kodomo no Ame to Yuki,Fantasy
Ookami Kodomo no Ame to Yuki,Slice of Life
FLCL,Action
FLCL,Sci-Fi
FLCL,Comedy
